county,min_date,max_date,date_range,number_samples_with_neonic,total_samples,range,percent_samples_containing_a_neonic,state
Alameda,2014-03-18,2021-10-25,03/18/2014 to 10/25/2021,19,76,0 - 0.145,25,California
Butte,2018-12-03,2021-10-25,12/03/2018 to 10/25/2021,0,11,0 - 0,0,California
Calaveras,2019-05-09,2019-05-09,05/09/2019 to 05/09/2019,0,1,0 - 0,0,California
Colusa,2013-06-18,2021-10-25,06/18/2013 to 10/25/2021,2,54,0 - 0.090414,3.7,California
Contra Costa,2001-04-17,2021-10-25,04/17/2001 to 10/25/2021,17,118,0 - 0.111,14.41,California
Del Norte,2016-05-25,2016-07-26,05/25/2016 to 07/26/2016,2,3,0 - 0.082,66.67,California
El Dorado,2019-05-15,2019-12-10,05/15/2019 to 12/10/2019,0,4,0 - 0,0,California
Fresno,2011-09-08,2019-08-05,09/08/2011 to 08/05/2019,0,17,0 - 0,0,California
Imperial,2010-10-05,2021-10-22,10/05/2010 to 10/22/2021,78,91,0 - 3.48,85.71,California
Inyo,2004-03-17,2004-03-17,03/17/2004 to 03/17/2004,0,2,0 - 0,0,California
Kings,2015-04-14,2016-11-30,04/14/2015 to 11/30/2016,2,6,0 - 0.0069,33.33,California
Los Angeles,2004-05-10,2021-10-26,05/10/2004 to 10/26/2021,115,133,0 - 0.74,86.47,California
Madera,2012-06-01,2019-09-05,06/01/2012 to 09/05/2019,0,5,0 - 0,0,California
Marin,2017-04-05,2017-05-11,04/05/2017 to 05/11/2017,0,19,0 - 0,0,California
Mariposa,2003-07-29,2017-10-03,07/29/2003 to 10/03/2017,0,41,0 - 0,0,California
Mendocino,2016-10-28,2016-10-28,10/28/2016 to 10/28/2016,0,2,0 - 0,0,California
Merced,2001-10-09,2021-09-01,10/09/2001 to 09/01/2021,2,48,0 - 0.016,4.17,California
Modoc,2016-05-24,2016-05-24,05/24/2016 to 05/24/2016,0,3,0 - 0,0,California
Monterey,2010-05-17,2021-12-29,05/17/2010 to 12/29/2021,397,481,0 - 62.6,82.54,California
Napa,2012-05-30,2017-05-10,05/30/2012 to 05/10/2017,0,27,0 - 0,0,California
Orange,2000-02-12,2021-10-26,02/12/2000 to 10/26/2021,299,374,0 - 165,79.95,California
Placer,2011-06-27,2021-10-22,06/27/2011 to 10/22/2021,113,198,0 - 3.308,57.07,California
Riverside,2010-01-20,2021-06-28,01/20/2010 to 06/28/2021,132,165,0 - 0.51,80,California
Sacramento,2001-03-28,2021-10-22,03/28/2001 to 10/22/2021,81,433,0 - 1.84,18.71,California
San Benito,2017-03-16,2021-12-14,03/16/2017 to 12/14/2021,4,10,0 - 0.104,40,California
San Bernardino,2000-03-14,2006-05-17,03/14/2000 to 05/17/2006,0,6,0 - 0,0,California
San Diego,2002-03-20,2021-10-08,03/20/2002 to 10/08/2021,20,92,0 - 0.261,21.74,California
San Joaquin,2001-03-27,2021-09-14,03/27/2001 to 09/14/2021,52,309,0 - 0.238,16.83,California
San Luis Obispo,2010-06-08,2021-12-15,06/08/2010 to 12/15/2021,57,90,0 - 51.83,63.33,California
San Mateo,2017-03-16,2021-01-28,03/16/2017 to 01/28/2021,1,10,0 - 0.0128,10,California
Santa Barbara,2010-06-08,2021-12-17,06/08/2010 to 12/17/2021,145,155,0 - 9.30491,93.55,California
Santa Clara,2014-07-07,2021-12-14,07/07/2014 to 12/14/2021,17,113,0 - 0.182,15.04,California
Santa Cruz,2011-04-26,2021-12-14,04/26/2011 to 12/14/2021,10,39,0 - 0.166,25.64,California
Shasta,2015-08-19,2016-06-27,08/19/2015 to 06/27/2016,0,5,0 - 0,0,California
Siskiyou,2016-05-24,2016-05-24,05/24/2016 to 05/24/2016,0,3,0 - 0,0,California
Solano,2011-04-05,2021-09-13,04/05/2011 to 09/13/2021,45,162,0 - 0.18,27.78,California
Sonoma,2012-05-29,2017-05-11,05/29/2012 to 05/11/2017,8,98,0 - 0.0645,8.16,California
Stanislaus,2001-10-09,2021-09-01,10/09/2001 to 09/01/2021,29,76,0 - 0.34132,38.16,California
Sutter,2001-03-28,2021-10-25,03/28/2001 to 10/25/2021,2,31,0 - 0.0061,6.45,California
Tulare,2011-07-10,2019-10-16,07/10/2011 to 10/16/2019,0,173,0 - 0,0,California
Tuolumne,2012-06-01,2017-10-03,06/01/2012 to 10/03/2017,0,10,0 - 0,0,California
Ventura,2011-08-09,2011-08-09,08/09/2011 to 08/09/2011,3,4,0 - 0.112,75,California
Yolo,2015-06-03,2021-10-25,06/03/2015 to 10/25/2021,18,158,0 - 0.0335,11.39,California
Yuba,2017-07-13,2018-09-06,07/13/2017 to 09/06/2018,0,10,0 - 0,0,California
