county,site_code,site_name,latitude,longitude,sample_date,chemical_name,concentration_ppb,level_of_quantification_ppb,method_detection_level_ppb,sample_type,study_cd,study_description,study_weblink,data_source,agency,record_id
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2015-04-28,imidacloprid,0.0375,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7139879
San Joaquin,39_95,San Joaquin R at Buckley Cove. CEDEN: 544LSAC13,37.97183,-121.37362,2015-08-18,imidacloprid,0.0052,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7260055
Stanislaus,50_36,Ingram C at River Rd Nr Patterson Ca (near HISLPA)_USGS NAWQA site,37.60057,-121.224,2016-01-19,acetamiprid,0.0232,0.0033,0.0033,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7262390
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2016-12-21,imidacloprid,0.0228,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175364
Sacramento,34_76,"Alder Creek receiving water at Iron Point Rd., near Buckingham Way(DPR site id: FOL100)",38.64559,-121.14442,2016-10-14,dinotefuran,0.016,0.0045,0.0045,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7265933
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2014-02-04,imidacloprid,0.022,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7138414
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2013-11-20,imidacloprid,0.0314,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7136583
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2017-01-10,imidacloprid,0.0554,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175365
San Joaquin,39_95,San Joaquin R at Buckley Cove. CEDEN: 544LSAC13,37.97183,-121.37362,2016-03-07,imidacloprid,0.0072,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7261153
Contra Costa,07_125,Grayson C A Golf Club Rd Nr Pleasant Hill Ca,37.972,-122.066,2017-04-20,imidacloprid,0.0676,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7145898
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2016-03-07,imidacloprid,0.0083,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7267285
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2016-03-29,imidacloprid,0.238,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7155675
Santa Cruz,44_30,Pajaro River at Porter/Main (305PJPxxx 2006 SWAMP),36.9044,-121.7504,2017-04-12,imidacloprid,0.0167,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7135108
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2014-04-09,imidacloprid,0.0158,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7140238
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2019-12-16,imidacloprid,0.0756,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7161337
Monterey,27_12,Rec Ditch at San Jon Rd,36.70487,-121.70506,2017-03-20,imidacloprid,0.259,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7134856
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2016-08-17,clothianidin,0.0311,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7263936
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2020-02-26,imidacloprid,0.0416,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7161339
Imperial,13_57,New River at Vail Rd (USGS Gaging Station),33.10461,-115.6644,2013-03-05,imidacloprid,0.082,0.0049,0.0049,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7262407
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2019-11-07,imidacloprid,0.077,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7161336
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2017-01-18,imidacloprid,0.0406,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7204800
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2020-04-28,imidacloprid,0.0336,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7161341
Santa Barbara,42_9,Santa Ynez River at 13th Street - Santa Ynez River Region -  SWAMP station code  314SYN001,34.67,-120.55,2017-04-11,imidacloprid,0.157,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7135258
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2017-01-31,imidacloprid,0.0397,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7185119
